appid;name;release_date;english;developer;publisher;platforms;required_age;categories;genres;steamspy_tags;achievements;positive_ratings;negative_ratings;average_playtime;median_playtime;owners;price;genresLista;genero;positiveReviewsPct;year;average_playtime_log
387860;the static speaks my name;2015-08-10;1;the whale husband;the whale husband;"windows;mac;linux";0;Single-player;"Adventure;Free to Play;Indie;RPG";"Free to Play;Psychological Horror;Indie";0;4014;931;13;15;200000-500000;0.0;['Adventure', 'Free to Play', 'Indie', 'RPG'];Adventure;0.8117290192113246;2015;2.5649493574615367
445980;Wizard of Legend;2018-05-15;1;Contingent99;Contingent99;"windows;mac;linux";0;"Single-player;Local Co-op;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud";"Action;Adventure;Indie";"Action;Pixel Graphics;Rogue-like";19;3990;535;386;462;200000-500000;12.39;['Action', 'Adventure', 'Indie'];Adventure;0.881767955801105;2018;5.955837369464831
268650;From the Depths;2014-08-07;1;Brilliant Skies Ltd.;Brilliant Skies Ltd.;"windows;mac;linux";0;"Single-player;Multi-player;Online Multi-Player;Co-op;Online Co-op;Captions available;Steam Workshop;Steam Leaderboards;Includes level editor";"Action;Adventure;Indie;RPG;Simulation;Strategy;Early Access";"Early Access;Sandbox;Building";0;3965;525;716;491;200000-500000;11.39;['Action', 'Adventure', 'Indie', 'RPG', 'Simulation', 'Strategy', 'Early Access'];Adventure;0.8830734966592427;2014;6.573680166960646
653530;Return of the Obra Dinn;2018-10-18;1;Lucas Pope;3909;"windows;mac";0;"Single-player;Steam Achievements;Full controller support";"Adventure;Indie";"Mystery;Detective;Atmospheric";16;3960;130;160;160;100000-200000;15.49;['Adventure', 'Indie'];Adventure;0.9682151589242054;2018;5.075173815233827
681660;Bless Online;2018-10-23;1;NEOWIZ BLESS STUDIO;NEOWIZ;windows;0;"Single-player;Multi-player;Online Multi-Player;MMO;Co-op;Online Co-op;Steam Achievements;Steam Trading Cards;In-App Purchases";"Action;Adventure;Free to Play;Massively Multiplayer;RPG";"MMORPG;Open World;Massively Multiplayer";55;3960;5806;5598;8392;200000-500000;0.0;['Action', 'Adventure', 'Free to Play', 'Massively Multiplayer', 'RPG'];Adventure;0.405488429244317;2018;8.630164670075398
315430;Polarity;2016-07-15;1;Bluebutton Games;Bluebutton Games;windows;0;"Single-player;Multi-player;Shared/Split Screen;Steam Achievements;Steam Trading Cards;Partial Controller Support";"Action;Adventure;Indie;Strategy";"Puzzle;Indie;First-Person";10;3932;942;156;135;500000-1000000;10.29;['Action', 'Adventure', 'Indie', 'Strategy'];Adventure;0.8067295855560115;2016;5.049856007249537
351290;SURVIVAL;2015-04-16;1;TB Games;TB Games;windows;0;"Multi-player;Steam Achievements";"Action;Adventure;Indie;Massively Multiplayer;Simulation;Early Access";"Early Access;Survival;Open World";8;3931;3694;46;46;100000-200000;5.79;['Action', 'Adventure', 'Indie', 'Massively Multiplayer', 'Simulation', 'Early Access'];Adventure;0.5155409836065574;2015;3.828641396489095
96000;The Tiny Bang Story;2011-04-22;1;Colibri Games;Colibri Games;"windows;mac;linux";0;"Single-player;Steam Trading Cards";"Adventure;Casual;Indie";"Puzzle;Point & Click;Hidden Object";0;3923;567;284;303;2000000-5000000;3.99;['Adventure', 'Casual', 'Indie'];Adventure;0.8737193763919822;2011;5.648974238161206
250620;Among the Sleep - Enhanced Edition;2014-05-29;1;Krillbite Studio;Krillbite Studio;"windows;mac;linux";0;"Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud";"Action;Adventure;Indie";"Horror;Indie;Adventure";10;3897;608;83;83;200000-500000;13.49;['Action', 'Adventure', 'Indie'];Adventure;0.86503884572697;2014;4.418840607796598
274520;Darkwood;2017-08-17;1;Acid Wizard Studio;Acid Wizard Studio;"windows;mac;linux";0;"Single-player;Steam Achievements;Full controller support;Steam Trading Cards";"Nudity;Violent;Gore;Action;Adventure;Indie;RPG";"Horror;Survival;Top-Down";15;3856;238;417;417;200000-500000;11.99;['Nudity', 'Violent', 'Gore', 'Action', 'Adventure', 'Indie', 'RPG'];Adventure;0.9418661455788959;2017;6.0330862217988015
